Date,Open,Close,Adj Close,VWSMA_200,VWEMA_50,VWEMA_20,RSI_Daily,ADX
2016-02-29,612.0999755859375,614.0499877929688,569.2534790039062,,569.2534790039062,569.2534790039062,,
2016-03-01,608.625,634.0499877929688,587.7943725585938,,569.980572868796,571.019278390067,,
2016-03-02,635.0,599.5750122070312,555.83447265625,,569.425823840853,569.5731064154178,,
2016-03-03,606.0,607.6749877929688,563.3435668945312,,569.187303960605,568.9798169372381,,
2016-03-04,607.5,608.1749877929688,563.8070678710938,,568.976314310036,568.4871741690339,,
2016-03-08,612.5,609.7000122070312,565.2208862304688,,568.8290426206412,568.1760991272658,,
2016-03-09,607.4500122070312,617.7750244140625,572.7068481445312,,568.9811134254995,568.607599033672,,
2016-03-10,616.0,613.1749877929688,568.4423828125,,568.9599867347937,568.5918641554651,,
2016-03-11,609.2999877929688,610.25,565.730712890625,,568.8333485448263,568.3193735588137,,
2016-03-14,615.0,606.0250244140625,561.81396484375,,568.5580785957645,567.6998108240457,,
2016-03-15,607.4500122070312,602.5250244140625,558.5693359375,,568.1663631974012,566.8302417872318,,
2016-03-16,602.4500122070312,606.0499877929688,561.8372192382812,,567.9181614735141,566.3547158301889,,
2016-03-17,609.5499877929688,599.2249755859375,555.5099487304688,,567.4315648953556,565.3218808683108,,
2016-03-18,600.0499877929688,611.2750244140625,566.680908203125,,567.4021273780131,565.4513120430549,,
2016-03-21,614.5,613.9749755859375,569.1839599609375,,567.4720031655788,565.8068023209485,49.96682613809064,
2016-03-22,615.0,626.5750122070312,580.8648071289062,,567.9972111641407,567.2408980169445,55.32972817275967,
2016-03-23,627.5,624.6749877929688,579.1033935546875,,568.4327477284759,568.3706594967296,54.383104229972844,
2016-03-28,631.0,621.9249877929688,576.5540771484375,,568.7512312351411,569.1500326064161,52.97056461758663,
2016-03-29,620.0999755859375,616.125,571.1771850585938,,568.846366679198,569.3430947447187,50.019567166845,
2016-03-30,622.0,609.875,565.3831787109375,,568.7105553863252,568.9659598843587,46.9821828093105,
2016-03-31,609.5,605.3499755859375,561.1881713867188,,568.4155599353602,568.2252181226787,44.85825085886573,
2016-04-01,603.3499755859375,597.5999755859375,554.0034790039062,,567.8503802909894,566.8707667780337,41.40579104579435,
2016-04-04,598.7249755859375,622.9500122070312,577.5042724609375,,568.228964297654,567.883481604977,53.90311225307157,
2016-04-05,622.9500122070312,607.8499755859375,563.5057983398438,,568.0437421032301,567.46655938925,47.41575567411257,
2016-04-06,610.0,610.1749877929688,565.6611938476562,,567.9503088383057,567.2946198138601,48.44462178780077,
2016-04-07,612.4500122070312,606.3250122070312,562.0921630859375,,567.7205776323304,566.7991477445341,46.81133570636725,
2016-04-08,607.4500122070312,616.125,571.1771850585938,,567.8561308647329,567.2161036792065,51.31126373753359,
2016-04-11,619.4500122070312,618.0,572.9154663085938,,568.0545361762569,567.7589001201005,52.14549801764912,11.569830112617115
2016-04-12,618.5,619.9749755859375,574.7462158203125,,568.3169549858278,568.4243587582159,53.05775449257466,11.796805939522425
2016-04-13,627.0,666.2249755859375,617.6221923828125,,570.2504937072782,573.1098667224633,68.29938958534123,14.887239758266386
2016-04-18,665.0,670.3250122070312,621.423095703125,,572.2572624129978,577.7111266253834,69.25248249409677,17.83512863888734
2016-04-20,672.4749755859375,663.0250244140625,614.6557006835938,,573.9199462667466,581.2296574880702,65.47779463210375,19.915882014461857
2016-04-21,667.4749755859375,654.3250122070312,606.5903930664062,,575.2011402588902,583.6449656383879,61.19667266883562,21.728144104268022
2016-04-22,655.0,663.0,614.6324462890625,,576.7474659855636,586.5961542717855,63.74229820947499,23.410958901945175
2016-04-25,662.6500244140625,663.25,614.8642578125,,578.2422421356396,589.2883546089964,63.81598591904586,24.97357264264539
2016-04-26,667.0,676.9249877929688,627.5415649414062,,580.1755489123362,592.9315174977974,67.68400805127493,27.109729440256405
2016-04-27,677.0,692.375,641.864501953125,,582.5947235413869,597.5918017316382,71.40343345238938,29.48301784015231
2016-04-28,694.6749877929688,672.25,623.2078247070312,,584.1873941753337,600.0314229673899,61.47769480168447,31.18595047961276
